DefaultIndex,OLTV_Band,DTI_Class,Employment,LoanPurpose,PaymentFreq,IR_Type,Occupancy,OrigChannel,Payment,Foreigner
0,<40%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=80% & <85%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Fixed_IR,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Self_employed,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=65% & <70%,<20%,Self_employed,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Self_employed,Renovation_Construction,SemiAnnually_Annually,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=65% & <70%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Fixed_IR,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=65% & <70%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=60% & <65%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=60% & <65%,>=40% & <50%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Fixed_IR,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,>=50%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Fixed_IR,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,SemiAnnually_Annually,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=65% & <70%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Self_employed,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Self_employed,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Fixed instal_without protection,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,SemiAnnually_Annually,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Fixed_IR,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Self_employed,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Self_employed,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=60% & <65%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=60% & <65%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Self_employed,Others_UNK,SemiAnnually_Annually,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=65% & <70%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Self_employed,Others_UNK,SemiAnnually_Annually,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=80% & <85%,<20%,Self_employed,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=80% & <85%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Self_employed,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,>=40% & <50%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=60% & <65%,<20%,Employed_Civil_Pensioner,Renovation_Construction,SemiAnnually_Annually,Fixed_IR,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=60% & <65%,<20%,Self_employed,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=65% & <70%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Self_employed,Others_UNK,Monthly_Quarterly,Fixed_IR,Other_or_UNK,Originator,Repayment,Y
0,>=60% & <65%,>=20% & <30%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=85% & <90%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Fixed_IR,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,>=30% & <40%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=65% & <70%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=80% & <85%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,>=40% & <50%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,>=40% & <50%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=65% & <70%,>=30% & <40%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=60% & <65%,<20%,Employed_Civil_Pensioner,Others_UNK,SemiAnnually_Annually,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=65% & <70%,<20%,Self_employed,Purchase_Remortgage,Monthly_Quarterly,Fixed_IR,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,SemiAnnually_Annually,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,>=40% & <50%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,>=50%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=90% & <95%,<20%,Self_employed,Others_UNK,SemiAnnually_Annually,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=60% & <65%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,>=20% & <30%,Self_employed,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=95% & <100%,>=30% & <40%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=65% & <70%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Fixed_IR,Other_or_UNK,Originator,Repayment,Y
0,>=100%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=65% & <70%,<20%,Employed_Civil_Pensioner,Others_UNK,SemiAnnually_Annually,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Self_employed,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Others_UNK,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=60% & <65%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=60% & <65%,>=20% & <30%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,SemiAnnually_Annually,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Renovation_Construction,SemiAnnually_Annually,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Self_employed,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Self_employed,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,>=50%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Self_employed,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,>=50%,Self_employed,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=40% & <50%,<20%,Self_employed,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,>=20% & <30%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,>=40% & <50%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Self_employed,Renovation_Construction,Monthly_Quarterly,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Renovation_Construction,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,>=30% & <40%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=80% & <85%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=65% & <70%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,SemiAnnually_Annually,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,<40%,<20%,Employed_Civil_Pensioner,Others_UNK,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,SemiAnnually_Annually,Capped_IR,Other_or_UNK,Originator,Repayment,Y
0,>=70% & <75%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=75% & <80%,<20%,Employed_Civil_Pensioner,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
0,>=50% & <60%,<20%,Self_employed,Purchase_Remortgage,Monthly_Quarterly,Base level,Other_or_UNK,Originator,Repayment,Y
